Birth,Death
7.5721938982486785,7.751521796098015
7.691276056141666,7.840372856587487
7.797819536615575,7.886300628711802
7.901111927152533,7.982846627286959
7.789058216745628,8.004626379917353
7.915928275062912,8.006466009157672
7.939317196073642,8.040782953987788
8.040563310163382,8.082952946552851
7.929329916055648,8.100284403854257
8.05226125951187,8.10440539934789
8.01136609945252,8.15256588551302
8.03831482763292,8.187989997653869
8.05762098316082,8.229942835242408
8.168778904336444,8.239910152314767
7.9233274624701515,8.263326851368408
8.221366614913919,8.31231311420517
8.155472744072732,8.332337572889454
8.176551933776409,8.345577334832411
8.292774151694264,8.373424902509472
8.300832116304601,8.401280252142886
8.306648901335524,8.401865298910085
8.278668310251973,8.422378541343026
8.331667145492698,8.437772948703113
8.374737067933136,8.454560908011711
8.384096378535121,8.51799321908235
8.354592654674276,8.523392212171387
8.428907691112984,8.549047922703028
8.388597103569877,8.57106815267899
8.562861572324929,8.573278002159093
8.459077215948895,8.588700966776502
8.540821431617799,8.602111756973613
8.541985068023436,8.623568103480709
8.673542035689135,8.67657126215267
8.54837186470041,8.68001718300549
8.642078667714898,8.699253534337746
8.676677167316647,8.744489539525787
8.311138123294402,8.787721100590641
8.681999677891428,8.793120251632928
8.744600174740986,8.843159664754204
8.771929666325446,8.859798112816188
8.851133075275609,8.8667691453726
8.884651452832777,8.913782370744784
8.812205824744222,8.952885169852173
8.831613291254046,8.967905812311098
8.997254540920707,9.015016034609427
8.827812432686704,9.033528372751324
9.03397714557893,9.123801554237527
9.130180668449263,9.130181162879385
8.92673146478575,9.187766758397768
9.191619982120795,9.206110242753713
9.115225082401384,9.233833300756585
9.117809143109366,9.268892590258353
9.194213764078984,9.304273323049848
9.237264101363238,9.307211261896168
9.066145302712513,9.39129758954374
9.262515908558486,9.396660401538385
9.391005174220503,9.463844169265917
8.995244041924877,9.514894985307944
9.422652320845053,9.518071360659668
9.5427604014966,9.543006676516345
9.356324705477146,9.544888505204735
9.329316028337935,9.55629912407593
9.473229049160214,9.564474990593046
9.498219327593347,9.593462168901404
9.199333646189556,9.646274450280057
9.654584474367734,9.656899322920612
9.332386391560725,9.661729865057968
9.679883146521698,9.708278143459854
9.231696125554743,9.71586555323444
9.712130716962097,9.728442152905423
9.32046693549091,9.745305477132527
9.751774697951516,9.754598750491311
9.60751593659462,9.757009694468383
9.730988628789387,9.768329835040685
9.543077808604968,9.791908358487639
9.487170480586588,9.822262293226041
9.24512110780493,9.822974165040877
9.82803578574597,9.828193892395936
9.698185596114328,9.833836207201323
9.729702069361084,9.836061402962791
9.606615706278436,9.86540522063656
9.745542550601673,9.96863768988771
9.39270969971896,10.00197322617056
9.862132346942182,10.004350850944427
10.198383320853134,10.254361854322097
10.26990089438349,10.331910730159548
10.333706391051972,10.337753341425234
10.42565473707582,10.42679727890964
10.535004120158511,10.542358025934982
10.664613393820868,10.694241101097058
10.76996289820671,10.839165707561197
10.837332787365419,10.971302628027123
11.050967699170135,11.054356243936796
11.023835546704547,11.115661520534392
11.169748345054014,11.289571457590334
11.3178580201597,11.318292291786832
11.414333121825653,11.424310823559809
11.527695918356667,11.527710764554579
12.052704900019297,12.06167532630452
12.17623366613287,12.177104580620773
12.375258540052597,12.398450732561841
13.009336851164903,13.098582629456043
13.166955398444419,13.258903660595942
13.190341504731514,13.297050237927477
13.488545959397651,13.612898058552005
13.393689356628064,13.685565868296933
13.837812956248106,13.9569399325113
14.140361115446382,14.151083131461919
14.709615581451706,14.76320801734594
14.608903197470031,14.871694182250861
15.182147058188484,15.214645134386071
15.215494592731357,15.222991913500909
14.979485653325083,15.447207685280398
15.329528885502647,15.761502564197063
15.77357622068578,15.77423714252933
15.42053383105721,15.787274859650003
16.1698922054953,16.17163255465526
15.978978192165236,16.29644004498951
16.30633004419151,16.306330770098917
16.448371303242908,16.468715675198034
16.286807363851466,16.667170353773287
17.04426282926965,17.067312681948486
17.079122829450284,17.207347151028895
17.321468715116914,17.321487460592426
16.644600761371905,17.322943206163213
17.33798562441763,17.355239999571435
17.11441489340557,17.6563593715102
17.54882002739984,17.713877540935457
17.824068845951004,17.860772401349777
17.66751106367925,18.986793753932425
18.935364559318906,19.109714058999575
19.729725686031337,20.001685767342522
20.279321274109506,20.2798511240371
20.440914974886216,20.443123838585407
20.6307001897003,20.640292873611166
20.6705295788939,20.757636436017954
20.773519851887862,20.915222032904822
21.37052927639383,21.3802512687411
21.139278649375786,21.382578187577696
21.11896438560132,21.604951931800414
21.663452041845428,21.674735260218387
21.1632639657186,21.815744566798408
21.976269585714768,21.97634981606968
21.58436211301727,22.009392725693054
21.928581034847888,22.04962573425105
22.095404881305484,22.100335308732635
22.448442159453155,22.470040689951333
22.056085822179075,22.78228203670133
21.40730015123315,22.866870695896374
22.98459907286799,23.12121302053203
22.53297839260777,23.139916452035763
23.134542599407094,23.218095882639446
23.29093295543524,23.293455771057598
23.39013463673013,23.599676008544574
23.738864455191287,23.909032383165368
23.92006014062906,23.927646349948848
23.96654722422432,24.047608979230738
24.120517566401304,24.243696381812352
24.4729995498272,25.14718894822792
25.11002706361061,25.479505408975655
25.456187796344285,25.48487901426298
25.62291129156507,25.626388553441792
25.621139418860423,25.669938420068576
26.037857599962926,26.03807429290467
24.395175707662396,26.337665602912843
27.179605460983204,27.631242340746073
26.972137941699508,27.804628162834437
28.216324047490218,28.30034130471529
28.328366302379727,28.39686078977318
29.16379874922507,29.38634634097208
29.385280300173388,29.787356030031084
31.386019518240417,31.55504600102526
32.32206040276944,32.43826076048598
33.02772281939762,33.02888646944153
