Birth,Death
6.911898925550689,7.294239921210675
7.65542582373118,7.7387966712433585
7.896916401467701,7.896926159224988
7.887829904670645,7.981866132386841
7.939149680297769,8.039270239041258
7.8600433527349365,8.04248128143347
8.044240205140257,8.060193000601819
7.920049554847504,8.09442671616666
7.984566933349299,8.094805405068765
8.077824024667944,8.110792730583338
7.9885011509809125,8.117701207536507
8.051195713742954,8.189264552777441
8.042154358385424,8.213889352443676
8.18862453022005,8.257873717336608
8.209478877616593,8.30887906023932
8.160276276818795,8.316111219127182
8.010594007004793,8.322047809556349
8.20711526911181,8.3435338559391
8.293268476732784,8.348874007979036
8.321700048112644,8.36729703959276
8.360251320791264,8.410076245358386
8.320051662755972,8.428919483951539
8.35338921476907,8.458509480338428
8.096014353486119,8.47097764173667
8.357327003943421,8.477172620526915
8.49400978862598,8.508415200123158
8.48911844144217,8.560508087374991
8.48063195105319,8.56719801632968
8.50375346772664,8.593962079253615
8.47631628955709,8.607670250510939
8.499228856224319,8.61658282209398
8.516223408699341,8.625726727448772
8.59922705849089,8.688242024802356
8.862962573984305,8.885012259461437
8.790882702288119,8.893075187097637
8.82753198593208,8.935967810021438
8.94883137264503,8.977682959998834
8.887424694677133,8.99241707111637
8.511744659106014,9.006110166650886
8.871230962515561,9.018434775267362
9.076624244000948,9.07665260548374
8.978730755270961,9.081920015844695
9.07459570515377,9.095002887522085
9.101887031337569,9.106763217556562
8.74648094728478,9.151050758577227
8.984329398502695,9.157036879078671
8.985708802334486,9.173664949444646
9.265853051518857,9.2673974740569
9.14379930207115,9.287944543203068
8.9414393703266,9.33167392479819
9.21498074327948,9.341276296549474
9.084921633776833,9.343315568429297
9.027138438512283,9.344604507518103
9.255775365722798,9.351270637286856
9.13139177778373,9.353539880159701
9.25369409575448,9.360130267267047
9.30247842669675,9.366466813918015
9.269012612230782,9.385501100546087
9.308863953152976,9.413485061057639
9.33272782314431,9.424010586486501
9.360973493433274,9.478559743341478
9.350152381783914,9.543461911253122
9.557384729146882,9.584190902641325
9.261901836576637,9.593082794030853
9.607788284869882,9.613562467878435
9.623243000296291,9.625389608902946
9.667184792149227,9.66894596298301
9.34313506198879,9.707398788301688
9.02076414248253,9.740033845841044
9.74761929118193,9.748664615861838
9.779648368039588,9.844498161428845
9.769744853058208,9.85000368936705
9.848294307020064,9.879262456352233
9.88410940548432,9.88451794045297
9.822561849149135,9.924809554870748
9.893929683224583,9.927342663997788
9.917699908823307,9.956429314262806
9.959051457524536,10.000842623497906
9.815477100495993,10.014031382840002
10.055533542865966,10.080763897401562
10.082823823659023,10.129177800432023
10.238796299133725,10.340043241748774
10.307811207794192,10.34132981141019
10.330990800837608,10.352198541540517
10.442799762716119,10.467696279401242
10.834650557610217,10.881190554397401
10.82212003065947,10.999791320264837
11.076943477838565,11.107936448731692
11.22847485243106,11.322315599331251
11.576058787373523,11.576358928634551
11.612946960535702,11.637733001330542
11.707269580446507,11.717304261411842
11.766683387709577,11.823700727150317
11.863494854562681,11.868581239928943
11.897362451965057,11.903486741853232
11.889484560049302,11.908240963800042
11.790168168689043,11.940949894006572
11.999769024354311,12.002448019536807
12.170140196219252,12.172220445015716
12.231551050264237,12.366402939118656
13.431897057551556,13.593759033522936
14.069485371666016,14.087377373498459
14.152381506262735,14.197773666950402
14.341563678773156,14.381435376597665
14.846323425163199,14.937341592867515
15.334273391943043,15.668430704448916
15.674184245275105,15.695306267783327
15.85046907631298,15.892688947227157
16.049188271833728,16.09186950571773
16.28221987206948,16.291294058319316
16.05604472678677,16.325159933562954
16.432065950166137,16.771324718489822
16.875954109479153,16.876877437134326
16.792712137697844,17.022271196125722
17.26750790554111,17.27661371772232
17.501612454168807,18.394278277902927
18.73906433411635,19.093310761314257
19.143912649396945,19.144032437819035
18.92069052412191,19.153047401914456
18.802074576228,19.349083359503005
19.51256046911015,19.559101509036367
19.53118373851877,19.574762830165824
19.554616423148502,19.606993156508683
19.782633519671244,19.841564055399278
19.73256244506775,19.89698047639454
19.566615491698578,20.511633091885138
20.476368812382997,20.544111008787254
20.422296348960558,20.593863496258876
21.08986493872172,21.137705894465036
21.126055356965583,21.140965680275794
21.386897187180935,21.404578342557755
17.341845774898477,21.48395006265653
21.126670755848018,21.616007849528586
21.63284416025732,21.636338883480406
21.67743023669827,21.721239970580058
20.546044075858056,21.74209475466507
22.502805914181884,22.503269711189837
22.41075686281818,22.720908432780266
22.862729200561695,22.99478964731563
23.053490838301666,23.05726941246557
23.153309383781327,23.44655485371809
23.69795433818073,23.718259841814913
22.526379471971357,23.790638092409722
21.907345255625653,23.83931796102481
23.477292031382174,23.849688831338383
22.953267035146865,23.99234281325293
23.83809908044746,24.014299103265433
24.25325700509882,24.768646803099145
24.608491880280532,24.956895158532365
25.132532142256345,25.132549423481404
25.797800175402962,25.8035311072561
25.90724341748787,25.96557159929695
25.959432475952823,26.36919308282625
24.537087765528668,26.890044739185125
27.096594005079993,27.542662822385207
28.351527409621507,28.50056573962761
26.716679641807318,28.514676444672958
29.37706351511031,29.37996046495867
30.846929606426983,30.89228406935279
30.94525583423344,31.002382873988584
31.038428114297076,31.069685646652076
30.061141806346434,31.080697042898137
31.62891100974889,31.64968385652849
31.637487713445633,31.83802132868221
31.884438143046935,31.974515907735913
31.757451944950496,32.20886404261738
30.74665900722529,32.67169280736898
33.11305370308314,33.113605651939565
33.113557649030184,33.18995437011105
30.83482798567649,33.22943993800269
33.15687304979716,33.2794973616635
32.372399107464695,33.32784671909773
33.16951183323785,33.38353886803372
33.499586513061374,33.61250007583731
