Target,Function Target,Number of Alpha Carbons in Target,Distance,Reference
target_8GYN_ca,,140,0.8145551486796894,ref_Strongylocentrotus_purpuratus_CRCL_8_filtered_Ca
target_8GYN_ca,,180,0.8146493353412877,ref_Mnemiopsis_leidyi_CRCL_1_filtered_Ca
target_8GYN_ca,,164,0.815869178416964,ref_Haliclona_tubifera_CRCL_3_filtered_Ca
target_8GYN_ca,,139,0.8164803256683948,ref_Stylophora_pistillata_CRCL_5_filtered_Ca
target_7Y8D_ca,,142,0.8166714094198689,ref_Gallus_gallus_CRCL_4_filtered_Ca
target_7CQV_ca,,164,0.817690220004974,ref_Orbicella_faveolata_CRCL_1_filtered_Ca
target_7Y8D_ca,,140,0.8181203789404877,ref_Gallus_gallus_CRCL_5_filtered_Ca
target_7CQV_ca,,163,0.8186719849268008,ref_Stylophora_pistillata_CRCL_1_filtered_Ca
target_8GYN_ca,,152,0.8195707461420926,ref_Xenopus_tropicalis_CRCL_4_filtered_Ca
target_7Y8D_ca,,155,0.8197391109303366,ref_Geodia_cydonium_CRCL_1_filtered_Ca
target_7CQV_ca,,168,0.8205648724580985,ref_Chondrosia_reniformis_CRCL_1_filtered_Ca
target_8ADD_ca,,184,0.8206509195077217,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_7Y8D_ca,,138,0.8209984683074147,ref_Xenopus_tropicalis_CRCL_6_filtered_Ca
target_7Y8D_ca,,136,0.8210005961901791,ref_Nematostella_vectensis_CRCL_5_filtered_Ca
target_7Y8D_ca,,133,0.8210560814742082,ref_Amphimedon_queenslandica_CRCL_8_filtered_Ca
target_7Y8D_ca,,141,0.8210915784553067,ref_Strongylocentrotus_purpuratus_CRCL_3_filtered_Ca
target_7PO9_ca,,148,0.8214077685300063,ref_Nematostella_vectensis_CRCL_3_filtered_Ca
target_7PO9_ca,,148,0.8218223976461723,ref_Nematostella_vectensis_CRCL_2_filtered_Ca
target_7Y8D_ca,,144,0.8222290186394084,ref_Lubomirskia_baicalensis_CRCL_1_filtered_Ca
target_7CQV_ca,,176,0.8230383681137379,ref_Danio_rerio_CRCL_10_filtered_Ca
target_7CQV_ca,,169,0.8233660639750646,ref_Homo_sapiens_CRCL_6_filtered_Ca
target_8ADD_ca,,184,0.8255114250598716,ref_Pocillopora_damicornis_CRCL_1_all_Ca
target_7CQV_ca,,165,0.8258339671138145,ref_Mus_musculus_CRCL_1_filtered_Ca
target_8GYN_ca,,155,0.8270753329391046,ref_Amphimedon_queenslandica_CRCL_2_filtered_Ca
target_7CQV_ca,,170,0.8271655761372486,ref_Hormiphora_californensis_CRCL_1_filtered_Ca
target_8GYN_ca,,169,0.8275730352222667,ref_Homo_sapiens_CRCL_6_filtered_Ca
target_8GYN_ca,,136,0.8279321032309862,ref_Trichoplax_adhaerens_CRCL_2_filtered_Ca
target_7PO9_ca,,138,0.8295343864597156,ref_Hydra_vulgaris_CRCL_5_filtered_Ca
target_7PO9_ca,,146,0.829551009407397,ref_Danio_rerio_CRCL_7_filtered_Ca
target_6XRO_ca,,198,0.8323750991349398,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_7Y8D_ca,,149,0.8325162504758765,ref_Gallus_gallus_CRCL_3_filtered_Ca
target_8GYN_ca,,156,0.8341516886890218,ref_Haliclona_tubifera_CRCL_1_filtered_Ca
target_8GYN_ca,,160,0.8345259653538502,ref_Gallus_gallus_CRCL_1_filtered_Ca
target_7Y8D_ca,,136,0.8347882181617196,ref_Danio_rerio_CRCL_3_filtered_Ca
target_7Y8D_ca,,122,0.8350631535974478,ref_Strongylocentrotus_purpuratus_CRCL_9_filtered_Ca
target_7Y8D_ca,,150,0.8357315769292277,ref_Acropora_digitifera_CRCL_1_filtered_Ca
target_8GYN_ca,,148,0.8365763921667604,ref_Danio_rerio_CRCL_1_filtered_Ca
target_7CIX_ca,,181,0.8366499309346498,ref_Halisarca_caerulea_CRCL_3_filtered_Ca
target_8GYN_ca,,163,0.8379326507196193,ref_Ephydatia_muelleri_CRCL_2_filtered_Ca
target_7PO9_ca,,164,0.8380354391941198,ref_Hydra_vulgaris_CRCL_3_filtered_Ca
target_8GYN_ca,,133,0.8380851918863963,ref_Amphimedon_queenslandica_CRCL_8_filtered_Ca
target_8GYN_ca,,168,0.8382239260340238,ref_Homo_sapiens_CRCL_7_filtered_Ca
target_7CQV_ca,,165,0.8396008838622359,ref_Acropora_millepora_CRCL_1_filtered_Ca
target_7JW6_ca,,184,0.8401413109831684,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_7CQV_ca,,175,0.8416452079498625,ref_Trichoplax__adhaerens_CRCL_1_filtered_Ca
target_7CQV_ca,,166,0.8417037228668927,ref_Stylophora_pistillata_CRCL_9_filtered_Ca
target_7Y8D_ca,,131,0.8418080444509582,ref_Exaiptasia_pallida_CRCL_1_filtered_Ca
target_7Y8D_ca,,159,0.8438109400502711,ref_Stylophora_pistillata_CRCL_7_filtered_Ca
target_7Y8D_ca,,146,0.8438792551663105,ref_Strongylocentrotus_purpuratus_CRCL_4_filtered_Ca
target_7Y8D_ca,,143,0.8440219098501875,ref_Hydra_vulgaris_CRCL_1_filtered_Ca
target_7CQV_ca,,184,0.8445735362897924,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_7JW6_ca,,174,0.844842042526052,ref_Gallus_gallus_CRCL_7_all_Ca
target_7JW6_ca,,184,0.8453900775572707,ref_Pocillopora_damicornis_CRCL_1_all_Ca
target_7CQV_ca,,165,0.8455470861695229,ref_Danio_rerio_CRCL_9_filtered_Ca
target_7Y8D_ca,,147,0.845621289056311,ref_Acropora_millepora_CRCL_2_filtered_Ca
target_8GYN_ca,,138,0.8460485830541,ref_Halisarca_caerulea_CRCL_1_filtered_Ca
target_7Y8D_ca,,176,0.8460766493948294,ref_Danio_rerio_CRCL_10_filtered_Ca
target_6VJ8_ca,,198,0.8468964292223184,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_8GYN_ca,,134,0.8469292782365391,ref_Trichoplax_adhaerens_CRCL_3_filtered_Ca
target_7CIV_ca,,181,0.8478149350454415,ref_Halisarca_caerulea_CRCL_3_filtered_Ca
target_7PO9_ca,,147,0.847952341037582,ref_Suberites_domuncula_CRCL_1_filtered_Ca
target_7PO9_ca,,134,0.8480059285380018,ref_Trichoplax_adhaerens_CRCL_3_filtered_Ca
target_8GYN_ca,,143,0.8492257328968864,ref_Hydra_vulgaris_CRCL_1_filtered_Ca
target_7CIV_ca,,181,0.8495132553383591,ref_Gallus_gallus_CRCL_6_filtered_Ca
target_6T2T_ca,,181,0.8507710872328951,ref_Halisarca_caerulea_CRCL_3_filtered_Ca
target_7CQV_ca,,162,0.8514254435078388,ref_Danio_rerio_CRCL_6_filtered_Ca
target_7PO9_ca,,174,0.8518728464627232,ref_Gallus_gallus_CRCL_7_all_Ca
target_7CQV_ca,,153,0.8522790899392954,ref_Homo_sapiens_CRCL_5_filtered_Ca
target_8GYN_ca,,165,0.8532224522118754,ref_Mus_musculus_CRCL_1_filtered_Ca
target_7CQV_ca,,184,0.85328211829535,ref_Pocillopora_damicornis_CRCL_1_all_Ca
target_7CQV_ca,,156,0.8534830978410224,ref_Haliclona_tubifera_CRCL_1_filtered_Ca
target_6VJ9_ca,,198,0.8536664315129551,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_8GYN_ca,,141,0.8539732363107342,ref_Homo_sapiens_CRCL_3_filtered_Ca
target_6LTK_ca,,184,0.8541433329445633,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_8GYN_ca,,159,0.8551070493092003,ref_Stylophora_pistillata_CRCL_7_filtered_Ca
target_7CIW_ca,,181,0.8551455055334239,ref_Halisarca_caerulea_CRCL_3_filtered_Ca
target_7KVX_ca,,138,0.8554893895091115,ref_Xenopus_tropicalis_CRCL_6_filtered_Ca
target_7Y8D_ca,,180,0.8560669976505281,ref_Mnemiopsis_leidyi_CRCL_1_filtered_Ca
target_8GYN_ca,,151,0.8565259857596372,ref_Strongylocentrotus_purpuratus_CRCL_6_filtered_Ca
target_7CQV_ca,,151,0.8566081046548876,ref_Strongylocentrotus_purpuratus_CRCL_6_filtered_Ca
target_7CQV_ca,,181,0.8569692704147932,ref_Gallus_gallus_CRCL_6_filtered_Ca
target_7Y8D_ca,,127,0.8570084657218885,ref_Gallus_gallus_CRCL_2_filtered_Ca
target_7PO9_ca,,143,0.8578379375553252,ref_Hydra_vulgaris_CRCL_1_filtered_Ca
target_7Y8D_ca,,151,0.8596558716301991,ref_Strongylocentrotus_purpuratus_CRCL_6_filtered_Ca
target_7Y8D_ca,,156,0.8599958031015271,ref_Hydra_vulgaris_CRCL_2_filtered_Ca
target_7Y8D_ca,,160,0.8604787142809721,ref_Amphimedon_queenslandica_CRCL_7_filtered_Ca
target_7PO9_ca,,141,0.8610853821533729,ref_Stylophora_pistillata_CRCL_4_filtered_Ca
target_7PO9_ca,,162,0.8611952257458194,ref_Danio_rerio_CRCL_6_filtered_Ca
target_7Y8D_ca,,165,0.8614909440507418,ref_Acropora_millepora_CRCL_1_filtered_Ca
target_7CQV_ca,,163,0.8618816657290915,ref_Ephydatia_muelleri_CRCL_2_filtered_Ca
target_8GYN_ca,,145,0.8620416111117383,ref_Homo_sapiens_CRCL_8_filtered_Ca
target_8GYN_ca,,194,0.8620624207923832,ref_Pleurobrachia_pileus_CRCL_1_filtered_Ca
target_7CQV_ca,,172,0.8627612650986712,ref_Haliclona_tubifera_CRCL_5_filtered_Ca
target_8GYN_ca,,167,0.863233699134592,ref_Beroe_ovata_CRCL_1_filtered_Ca
target_8GYN_ca,,144,0.8635296210045239,ref_Amphimedon_queenslandica_CRCL_3_filtered_Ca
target_7CQV_ca,,164,0.8641319567944352,ref_Hydra_vulgaris_CRCL_3_filtered_Ca
target_7Y8D_ca,,148,0.8644467506207677,ref_Nematostella_vectensis_CRCL_3_filtered_Ca
target_7PO9_ca,,137,0.8647628175304012,ref_Nematostella_vectensis_CRCL_4_filtered_Ca
target_7CQV_ca,,156,0.8648137054092515,ref_Haliclona_tubifera_CRCL_2_filtered_Ca
target_8GYN_ca,,160,0.8649905896412483,ref_Amphimedon_queenslandica_CRCL_7_filtered_Ca
target_7CIV_ca,,184,0.8657790505091949,ref_Stylophora_pistillata_CRCL_8_all_Ca
target_7KVX_ca,,148,0.8662589061286716,ref_Nematostella_vectensis_CRCL_2_filtered_Ca
target_7CIX_ca,,198,0.8666389478605917,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_7PO9_ca,,153,0.8667353607265452,ref_Homo_sapiens_CRCL_5_filtered_Ca
target_7KVX_ca,,153,0.8671041098417008,ref_Homo_sapiens_CRCL_5_filtered_Ca
target_6XRO_ca,,176,0.8679620483229702,ref_Danio_rerio_CRCL_10_filtered_Ca
target_7CIV_ca,,198,0.8684567964836664,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_7CQV_ca,,160,0.8688361087357742,ref_Xenopus_tropicalis_CRCL_8_filtered_Ca
target_7PO9_ca,,168,0.8689646920754188,ref_Chondrosia_reniformis_CRCL_1_filtered_Ca
target_7CQV_ca,,198,0.8690187785084361,ref_Xenopus_tropicalis_CRCL_9_all_Ca
target_6LTK_ca,,184,0.8690511680551947,ref_Pocillopora_damicornis_CRCL_1_all_Ca
target_6LTK_ca,,176,0.8703083990491399,ref_Danio_rerio_CRCL_10_filtered_Ca
target_8GYN_ca,,156,0.870492594657766,ref_Hydra_vulgaris_CRCL_2_filtered_Ca
